genomes	checkm2_completeness	checkm2_contamination	checkm_completeness	checkm_contamination	genome_size	gtdb_taxonomy	ncbi_assembly_level	ncbi_assembly_name	ncbi_bioproject	ncbi_biosample	ncbi_country	ncbi_date	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_organism_name	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxonomy
GCF_030923435.1	98.84	0.11	99.25	0	817409	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3092343v1	PRJNA224116	SAMN17804536	Taiwan	2023-08-28	none	full	na	throat swabs	Mycoplasmoides pneumoniae	S08	Chang Gung University, Taiwan	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_030925355.1	96.49	0.12	98.46	0	817570	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3092535v1	PRJNA224116	SAMN17804451	Taiwan	2023-08-28	none	full	na	throat swabs	Mycoplasmoides pneumoniae	625	Chang Gung University, Taiwan	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_009257425.1	98.8	0.11	98.9	0	1292279	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Chromosome	NL-IR-2	PRJNA224116	SAMN12826993	Netherlands	2019-10-13	none	full	na	eggs of a tick infected in nature	Borrelia miyamotoi	NL-IR-2	Central Research Institute of Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_030924755.1	99.11	0.11	99.25	0	817345	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3092475v1	PRJNA224116	SAMN17804483	Taiwan	2023-08-28	none	full	na	throat swabs	Mycoplasmoides pneumoniae	006-414	Chang Gung University, Taiwan	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_009810955.1	99.24	0.11	99.25	0	797817	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM981095v1	PRJNA224116	SAMD00180380	Japan	2019-12-06	none	full	na	none	Mycoplasmoides pneumoniae	KCH-595	AMR Research Center, National Institute of Infectious Diseases	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_009942155.1	98.81	0.11	99.22	0	818560	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Complete Genome	ASM994215v1	PRJNA224116	SAMN11472213	South Korea: Seoul	2020-01-29	none	full	na	nasophraynx	Mycoplasmoides pneumoniae	14-637	Chungbuk National University Hospital	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_001296735.1	97.66	0.12	98.46	0	821159	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Scaffold	ASM129673v1	PRJNA224116	SAMN03897316	France	2015-09-22	none	full	na	NPA	Mycoplasmoides pneumoniae	Mympn_5954	Centre for genomic regulation (CRG)	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_009942395.1	98.2	0.11	99.22	0	816510	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Complete Genome	ASM994239v1	PRJNA224116	SAMN11472212	South Korea: Seoul	2020-01-29	none	full	na	nasophraynx	Mycoplasmoides pneumoniae	12-091	Chungbuk National University Hospital	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_002128085.1	98.78	0.11	99.22	0	817353	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Complete Genome	ASM212808v1	PRJNA224116	SAMN05391720	USA: Rhode Island	2017-05-11	none	full	na	Clinical	Mycoplasmoides pneumoniae	RI3	Centers for Disease Control and Prevention	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_009939845.1	98.2	0.11	99.22	0	816561	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Complete Genome	ASM993984v1	PRJNA224116	SAMN11472219	South Korea: Seoul	2020-01-29	none	full	na	nasophraynx	Mycoplasmoides pneumoniae	16-004	Chungbuk National University Hospital	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
