genomes	checkm2_completeness	checkm2_contamination	checkm_completeness	checkm_contamination	gtdb_genome_representative
GCF_030923435.1	98.84	0.11	99.25	0.0	GCF_001272835.1
GCF_030925355.1	96.49	0.12	98.46	0.0	GCF_001272835.1
GCF_009257425.1	98.8	0.11	98.9	0.0	GCF_019668505.1
GCF_030924755.1	99.11	0.11	99.25	0.0	GCF_001272835.1
GCF_009810955.1	99.25	0.11	99.25	0.0	GCF_001272835.1
GCF_009942155.1	98.81	0.11	99.22	0.0	GCF_001272835.1
GCF_001296735.1	97.66	0.12	98.46	0.0	GCF_001272835.1
GCF_009942395.1	98.2	0.11	99.22	0.0	GCF_001272835.1
GCF_002128085.1	98.78	0.11	99.22	0.0	GCF_001272835.1
GCF_009939845.1	98.2	0.11	99.22	0.0	GCF_001272835.1
GCF_009810495.1	98.79	0.11	99.22	0.0	GCF_001272835.1
GCF_030924475.1	99.11	0.11	99.25	0.0	GCF_001272835.1
GCF_030924655.1	98.83	0.11	99.22	0.0	GCF_001272835.1
GCF_030923695.1	97.19	0.11	98.46	0.0	GCF_001272835.1
GCF_030924815.1	98.22	0.11	99.22	0.0	GCF_001272835.1
GCF_030159415.1	98.81	0.11	99.22	0.0	GCF_001272835.1
GCF_002741785.2	98.21	0.29	98.9	0.0	GCF_019668505.1
GCF_000441755.1	99.62	0.04	98.92	0.0	GCF_000012125.1
GCF_000441815.1	99.65	0.04	98.92	0.0	GCF_000012125.1
GCF_019668825.1	95.18	0.11	98.9	0.0	GCF_019668505.1
GCF_039656655.1	98.27	0.23	98.49	0.0	GCF_019668505.1
GCF_027286205.1	97.99	0.12	98.49	0.0	GCF_019668505.1
GCF_000472225.1	99.83	0.05	98.92	0.0	GCF_000012125.1
GCF_002741825.2	98.24	0.32	98.9	0.0	GCF_019668505.1
GCF_000441795.1	99.62	0.04	98.92	0.0	GCF_000012125.1
GCF_019668705.1	95.31	0.11	98.9	0.0	GCF_019668505.1
GCF_019668605.1	95.49	0.15	98.9	0.0	GCF_019668505.1
GCF_000472205.1	99.83	0.05	98.92	0.0	GCF_000012125.1
GCF_019668665.1	95.33	0.11	98.9	0.0	GCF_019668505.1
GCF_003431845.1	95.88	0.08	98.9	0.0	GCF_019668505.1
GCF_019668525.1	95.31	0.11	98.9	0.0	GCF_019668505.1
GCF_019668565.1	95.32	0.11	98.9	0.0	GCF_019668505.1
GCF_027286105.1	97.64	0.11	98.49	0.0	GCF_019668505.1
GCF_004354445.2	98.26	0.8	98.9	0.81	GCF_019668505.1
GCF_002741845.3	98.0	0.26	98.9	0.0	GCF_019668505.1
GCF_000068585.1	99.65	0.04	98.92	0.0	GCF_000012125.1
GCF_000318825.1	99.51	0.15	98.92	0.0	GCF_000012125.1
GCF_027286165.1	97.82	0.12	98.49	0.0	GCF_019668505.1
GCF_027286185.1	97.84	0.12	98.49	0.0	GCF_019668505.1
GCF_004353465.2	98.56	0.37	98.9	0.0	GCF_019668505.1
GCF_000807295.1	95.13	0.11	98.9	0.0	GCF_019668505.1
GCF_001767415.1	97.86	0.11	98.49	0.0	GCF_019668505.1
GCF_004353385.2	97.88	0.26	98.9	0.0	GCF_019668505.1
GCF_001885175.1	99.29	0.08	96.76	0.0	GCF_000012125.1
GCF_019669005.1	95.3	0.11	98.9	0.0	GCF_019668505.1
GCF_009734065.1	98.22	0.11	98.9	0.0	GCF_019668505.1
GCF_019668645.1	95.33	0.11	98.9	0.0	GCF_019668505.1
GCF_027286225.1	97.73	0.1	98.49	0.0	GCF_019668505.1
GCF_000441675.1	99.76	0.05	98.92	0.0	GCF_000012125.1
GCF_019668505.1	95.32	0.11	98.9	0.0	GCF_019668505.1
GCF_019668685.1	95.31	0.11	98.9	0.0	GCF_019668505.1
GCF_002741765.2	97.37	0.25	98.9	0.0	GCF_019668505.1
GCF_009734045.1	98.21	0.11	98.9	0.0	GCF_019668505.1
GCF_000318885.1	99.65	0.04	98.92	0.0	GCF_000012125.1
GCF_004353445.2	97.95	0.26	98.9	0.0	GCF_019668505.1
GCF_027286125.1	97.98	0.18	98.49	0.0	GCF_019668505.1
GCF_027286005.1	99.52	0.22	98.9	0.0	GCF_019668505.1
GCF_027286145.1	97.68	0.11	98.49	0.0	GCF_019668505.1
GCF_002741665.3	98.31	0.29	98.9	0.0	GCF_019668505.1
GCF_000068525.2	99.65	0.04	98.92	0.0	GCF_000012125.1
GCF_002741805.2	98.16	0.29	98.9	0.0	GCF_019668505.1
GCF_027285985.1	97.91	0.26	98.9	0.0	GCF_019668505.1
GCF_000441615.1	99.65	0.04	98.92	0.0	GCF_000012125.1
GCF_000220105.1	99.65	0.04	98.92	0.0	GCF_000012125.1
GCF_019668545.1	95.32	0.11	98.9	0.0	GCF_019668505.1
GCF_017748085.1	98.07	0.11	98.49	0.0	GCF_019668505.1
GCF_019669025.1	95.19	0.11	97.28	0.0	GCF_019668505.1
GCF_019668585.1	95.21	0.1	98.9	0.0	GCF_019668505.1
GCF_000441655.1	99.65	0.04	98.92	0.0	GCF_000012125.1
GCA_000568695.2	96.68	4.91	98.09	7.26	GCF_019668505.1
GCF_002192615.1	99.65	0.04	98.92	0.0	GCF_000012125.1
GCF_019668925.1	95.3	0.11	98.9	0.0	GCF_019668505.1
GCF_004353405.1	97.82	0.57	98.9	0.03	GCF_019668505.1
GCF_009258445.2	99.24	0.21	98.9	0.0	GCF_019668505.1
GCF_004353425.2	98.15	0.32	98.9	0.0	GCF_019668505.1
GCF_019668625.1	95.33	0.11	98.9	0.0	GCF_019668505.1
GCF_000445425.4	95.28	0.11	98.9	0.0	GCF_019668505.1
GCF_019668625.1_DUP_SPLIT.1	100	0	100	0	GCF_019668625.1_DUP_SPLIT.1
GCF_019668665.1_DUP_SPLIT.1	100	0	100	0	GCF_019668665.1_DUP_SPLIT.1
GCF_019668565.1_DUP_SPLIT.1	100	0	100	0	GCF_019668565.1_DUP_SPLIT.1
GCF_019668825.1_DUP_SPLIT.1	100	0	100	0	GCF_019668565.1_DUP_SPLIT.1
GCF_019668505.1_DUP_SPLIT.1	100	0	100	0	GCF_019668505.1_DUP_SPLIT.1
GCF_019668685.1_DUP_SPLIT.1	100	0	100	0	GCF_019668505.1_DUP_SPLIT.1
